"from","to","country","new","entire"
2020-03-29,2020-04-05,"China",480,82602
2020-03-29,2020-04-05,"France",30704,71412
2020-03-29,2020-04-05,"Germany",38028,100123
2020-03-29,2020-04-05,"Iran",19917,58226
2020-03-29,2020-04-05,"Italy",31259,128948
2020-03-29,2020-04-05,"Spain",51536,131646
2020-03-29,2020-04-05,"US",196368,337573
2020-03-29,2020-04-05,"United Kingdom",31468,61422
2020-03-30,2020-04-06,"China",467,82665
2020-03-30,2020-04-06,"France",30173,75343
2020-03-30,2020-04-06,"Germany",36489,103374
2020-03-30,2020-04-06,"Iran",19005,60500
2020-03-30,2020-04-06,"Italy",30808,132547
2020-03-30,2020-04-06,"Spain",48719,136675
2020-03-30,2020-04-06,"US",204508,367215
2020-03-30,2020-04-06,"United Kingdom",32457,66738
2020-03-31,2020-04-07,"China",439,82718
2020-03-31,2020-04-07,"France",26336,79163
2020-03-31,2020-04-07,"Germany",35855,107663
2020-03-31,2020-04-07,"Iran",17984,62589
2020-03-31,2020-04-07,"Italy",29794,135586
2020-03-31,2020-04-07,"Spain",46019,141942
2020-03-31,2020-04-07,"US",209268,397992
2020-03-31,2020-04-07,"United Kingdom",33409,72224
2020-04-01,2020-04-08,"China",448,82809
2020-04-01,2020-04-08,"France",25308,83057
2020-04-01,2020-04-08,"Germany",35424,113296
2020-04-01,2020-04-08,"Iran",16993,64586
2020-04-01,2020-04-08,"Italy",28848,139422
2020-04-01,2020-04-08,"Spain",44102,148220
2020-04-01,2020-04-08,"US",215481,429686
2020-04-01,2020-04-08,"United Kingdom",33598,77387
2020-04-02,2020-04-09,"China",451,82883
2020-04-02,2020-04-09,"France",27437,87366
2020-04-02,2020-04-09,"Germany",33387,118181
2020-04-02,2020-04-09,"Iran",15752,66220
2020-04-02,2020-04-09,"Italy",28384,143626
2020-04-02,2020-04-09,"Spain",41157,153222
2020-04-02,2020-04-09,"US",219832,464442
2020-04-02,2020-04-09,"United Kingdom",33575,82293
2020-04-03,2020-04-10,"China",430,82941
2020-04-03,2020-04-10,"France",26536,91738
2020-04-03,2020-04-10,"Germany",31012,122171
2020-04-03,2020-04-10,"Iran",15009,68192
2020-04-03,2020-04-10,"Italy",27750,147577
2020-04-03,2020-04-10,"Spain",39074,158273
2020-04-03,2020-04-10,"US",221396,497943
2020-04-03,2020-04-10,"United Kingdom",32961,86660
2020-04-04,2020-04-11,"China",471,83014
2020-04-04,2020-04-11,"France",25363,94863
2020-04-04,2020-04-11,"Germany",28816,124908
2020-04-04,2020-04-11,"Iran",14286,70029
